name,asins,categories,primaryCategories,imageURLs,manufacturer,reviews.date,reviews.doRecommend,reviews.numHelpful,reviews.rating,reviews.sourceURLs,reviews.text,reviews.title,reviews.username,latitude,longitude,location,zipcode
Certified Refurbished Amazon Echo,B01GAGYVU2,"Consumer Electronics,Amazon Echo,Smart Speakers, Hubs & Accessories,Smart Speakers,Amazon Home,Surveillance & Smart Home Electronics,Digital Device 3",Electronics,https://m.media-amazon.com/images/I/61QPXTh0K9L._AC_SL1000_.jpg,Amazon,2018-08-16T00:00:00.000Z,Unavailable,Unavailable,5,https://www.ebay.com/itm/NEW-Amazon-Echo-Show-Alexa-Smart-Home-Control-with-Video-White/273535713254,"Like this version the best. The new version does not give you much of a choice for colors and you can get a skin for the 1st generation version. The speaker is great, fills the room with sound. Replaced an Echo Dot which sucked...wouldn't stay connected to the external speaker, always having to pair it or reconnect it to the internet, etc. Plugged this one in and it worked right away.",Still the best,divecat2,42.8864,-78.8784,"('Greenpoint', 'US', 'America/New_York')",14206
"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 8 GB, Wi-Fi - Includes Special Offers",B06XD5YCKX,"EBook Readers,Tablets,Electronics,Amazon Ereaders,Kindle E-readers,E-Readers,Featured Brands,E-Readers & Accessories,Amazon Book Reader,Computers & Tablets,Amazon Devices,Amazon,Tablets & E-Readers","Electronics,Media",https://m.media-amazon.com/images/I/61PxOMO+9aL._AC_SL1000_.jpg,Amazon,2018-05-25T00:00:00.000Z,TRUE,0,5,https://reviews.bestbuy.com/3545/5999007/reviews.htm%252525253Fformat%252525253Dembedded,This e reader is great because of higher pixel dpi - no blemish to detract from reading. My only grip is it’s kind of a finger print magnet slash sweaty but it’s my first e-reader so maybe that’s to be expected and I don’t use a case.Try reading in landscape mode it’s so comfy and feels like less natural reading eye fatigue somehow.,Great but,David,40.63316,-74.13653,"('Greenpoint', 'US', 'America/New_York')",76966
AmazonBasics AAA Performance Alkaline Batteries (36 Count),"B00QWO9P0O,B00LH3DMUO","AA,AAA,Health,Electronics,Health & Household,Camcorder Batteries,Camera & Photo,Batteries,Household Batteries,Robot Check,Accessories,Camera Batteries,Health and Beauty,Household Supplies,Batteries & Chargers,Health, Household & Baby Care,Health Personal Care",Health & Beauty,https://m.media-amazon.com/images/I/71nDX36Y9UL._AC_SL1026_.jpg,AmazonBasics,2016-04-07T00:00:00.000Z,Unavailable,Unavailable,3,https://www.amazon.com/product-reviews/B00QWO9P0O/,"These do not hold the amount of high power juice like energizer or duracell, but they are half the price.",... do not hold the amount of high power juice like energizer or duracell,ByK.R.,43.1566,-77.6088,"('Greenpoint', 'US', 'America/New_York')",14623
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black","B018SZT3BK,B01AHB9CN2","Fire Tablets,Computers/Tablets & Networking,Electronics Features,Tablets,All Tablets,Amazon Tablets,Computers & Tablets,Electronics,iPad & Tablets,Tablets & eBook Readers",Electronics,https://m.media-amazon.com/images/I/71GletxnoxS._AC_SL1500_.jpg,Amazon,2017-03-21T00:00:00.000Z,TRUE,0,5,"http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=25,http://reviews.bestbuy.com/3545/5538501/reviews.htm?format=embedded&page=89,http://reviews.bestbuy.com/3545/5538501/reviews.htm?format=embedded&page=23",This was a request from our 7 yr old granddaugter who had always asked her older sister if she could share hers due to we bought this same tablet/size a few yrs earlier. Loved the security/parental control options.Starfall a favorite educational app were told is a must have. Really enjoy Pics/Viber due to their in a different state. Also some games on a time limit. Size and resolution are perfect.,7 year old granddaughter loves it,Intheknow,44.73941,-93.12577,"('Greenpoint', 'US', 'America/New_York')",66651
AmazonBasics Bluetooth Keyboard for Android Devices - Black,B005OOKNP4,"Electronics Features,Computers & Accessories,Computer Accessories & Peripherals,Keyboards,Electronics,Amazon Device Accessories,Digital Device Accessory,Keyboards, Mice & Accessories,Tablet Accessories,14701001",Electronics,https://m.media-amazon.com/images/I/71n2pw4Ko6L._AC_SL1500_.jpg,AmazonBasics,2012-11-28T00:00:00Z,Unavailable,Unavailable,4,https://www.amazon.com/AmazonBasics-Bluetooth-Keyboard-Android-Devices/dp/B005OOKNP4/,"I'm typing this review on my Kindle Fire HD 8.9 using this BT keyboard. I never would have attempted to type a review without a keyboard like this.I've had great luck with it. It paired up quickly and hasn't given me any trouble. The Kindle recognized it and gave me a 4 digit code to enter. I typed the code on the keyboard and it paired right up.I've been using this on the commuter train when I travel and it's really fantastic. I read the other reviews and see where others had trouble. I assume these kinks have been worked out in the Kindle software, because it's working great for me.A couple of nice things about the way it works with the Kindle Fire HD:* Once the BT keyboard is paired, the soft keyboard no longer displays on the screen when you're in a text field. This leaves you with a lot more viewable space on the screen.* You can navigate through the screen with the arrow keys and press enter to activate a button. Tapping on the screen is still faster, but it's nice to have the option to navigate either way.* The Home and Menu buttons work great on the Fire. From any screen, press the Home button on the keyboard and it takes you to the Fire's home page.",I love this keyboard,Dave Edmiston,41.48199,-81.79819,"('Greenpoint', 'US', 'America/New_York')",18755
AmazonBasics Backpack for Laptops up to 17-inches,"B00EEBS9O0,B01CHQHIJK","Portable Computer Accessories,Bags, Cases & Sleeves,Accessories,Computers & Accessories,Laptop Accessories,Electronics,Backpacks",Electronics,https://m.media-amazon.com/images/I/81vfzNUAXEL._AC_SL1500_.jpg,AmazonBasics,2014-07-19T05:00:00Z,Unavailable,Unavailable,5,http://www.amazon.com/product-reviews/B00EEBS9O0/,Love it,Five Stars,Jadiah Jones,29.65163,-82.32483,"('Greenpoint', 'US', 'America/New_York')",37442
Cat Litter Box Covered Tray Kitten Extra Large Enclosed Hooded Hidden Toilet,"B074MCBG25,B075357QFB","Standard Litter Boxes,Litter Boxes,Cat Supplies,Pet Supplies,Top Cat Supplies,Pet Products",Animals & Pet Supplies,https://m.media-amazon.com/images/I/718V7h1O6uL._AC_SL1500_.jpg,AmazonBasics,2018-05-16T00:00:00.000Z,Unavailable,Unavailable,5,https://www.ebay.com/itm/Cat-Litter-Box-High-Back-Hooded-Large-Covered-Kitty-Kitten-Pan-With-Swing-Door/253948762955?hash=item3b20869b4b:g:vGcAAOSwEN9bZ7zR,I replaced my cat's x-large litter box to this smaller sized litter box... It's easy to clean and takes less kitty litter to fill it which I like,Perfect size,hazel_1111,43.1566,-77.6088,"('Greenpoint', 'US', 'America/New_York')",14623
Cat Litter Box Covered Tray Kitten Extra Large Enclosed Hooded Hidden Toilet,"B074MCBG25,B075357QFB","Standard Litter Boxes,Litter Boxes,Cat Supplies,Pet Supplies,Top Cat Supplies,Pet Products",Animals & Pet Supplies,https://m.media-amazon.com/images/I/718V7h1O6uL._AC_SL1500_.jpg,AmazonBasics,2018-11-21T00:00:00.000Z,Unavailable,Unavailable,5,https://www.ebay.com/itm/AmazonBasics-Hooded-Cat-Litter-Box-Standard/183243979725?hash=item2aaa313bcd:g:B7gAAOSwjatbCVN6,"Great price, good value!",She likes it!,hamptonmotels,40.93121,-73.89875,"('Greenpoint', 'US', 'America/New_York')",99565
AmazonBasics Double-Door Folding Metal Dog Crate - Medium (36x23x25 Inches),B00QAVNWSK,"Crate Training,Crates Kennels,Pet Supplies,Dogs,City Sniffers,Custom Stores,Dog Supplies,Top Selection from AmazonPets,Pet Products,Cages & Crates,See more AmazonBasics Double Door Folding Metal Dog Cra...",Animals & Pet Supplies,https://m.media-amazon.com/images/I/61uC2TJiFBL._AC_SL1010_.jpg,AmazonBasics,2017-09-04T00:00:00.000Z,Unavailable,Unavailable,4,https://www.ebay.com/urw/product-reviews/2254346895%253F_itm%253D322741990640,I am very pleased with the dog crate. Very sturdy. No damage or flaws. Was better than some others that I have purchased in a retail store.,Better than expected.,ansl-alex,47.4943,-122.24092,"('Greenpoint', 'US', 'America/New_York')",12930
Fire TV Stick Streaming Media Player Pair Kit,B00ZV9RDKK,"Electronics,TVs Entertainment,Featured Brands,Other TV, Video & Audio Accs,College Tvs & Home Theater,Streaming Media Players,Fire TV,TVs Entertainment xbqxrzdteyyb,Ways To Shop,Amazon SMP,Electronics Features,TVs & Home Theater,TV, Video & Home Audio,On To College,Media Streamers,TV & Home Theater,TV, Video & Audio Accessories,Digital Device 4,All Streaming Media Players,College Electronics,Video Devices & TV Tuners,Consumer Electronics,TV & Video,Streaming Devices,Back To College,Amazon Devices,Amazon,Holiday Shop",Electronics,https://m.media-amazon.com/images/I/51P6jWMGzYL._AC_SL1000_.jpg,Amazon,2019-03-03T00:00:00.000Z,Unavailable,1,5,"https://www.newegg.com/Product/Product.aspx?Item=9SIA9586MT5898,https://www.newegg.com/Product/Product.aspx?Item=9SIAGHS8KE3513,https://www.newegg.com/Product/Product.aspx?Item=9SIA6V66MV2282","Pros: I WOULD recommend anyone who was going to purchase anything , newegg is the BEST PLACE TO LOOK ! Cons: No compaints",GREAT! PRICES,Larry T.,39.00622,-77.4286,"('Greenpoint', 'US', 'America/New_York')",81551
AmazonBasics 15.6-Inch Laptop and Tablet Bag,B00DUGZFWY,"Bags, Cases & Sleeves,Computers & Accessories,See more AmazonBasics 15.6 Inch Laptop And Tablet Bag -...,Electronics,Tablet Accessories,Accessories,Computers/Tablets & Networking,Messenger Bags,Bags,Laptop & Desktop Accessories,Laptop Cases & Bags,Laptop Accessories,Cases,computers,Backpacks",Electronics,https://m.media-amazon.com/images/I/91Q4MPJX2iL._AC_SL1500_.jpg,AmazonBasics,2017-11-20T00:00:00.000Z,Unavailable,Unavailable,5,https://www.ebay.com/urw/product-reviews/1542880841%25253F_itm%25253D252317004839,"Fits well, small from outside but inside it is big, thanks",Overall nice bag,imaorabialnajja_0,41.24255,-82.61573,"('Greenpoint', 'US', 'America/New_York')",33335
AmazonBasics Silicone Hot Handle Cover/Holder - Red,B01L7XWEQQ,"Home & Garden,Oven Mitts & Potholders,Kitchen, Dining & Bar,Cookware,Kitchen,Home & Kitchen,Cookware Accessories,Linens & Textiles,Kitchen & Dining",Home & Garden,https://m.media-amazon.com/images/I/51xLNC4UUfL._AC_SX679_.jpg,AmazonBasics,2018-01-14T00:00:00.000Z,Unavailable,Unavailable,4,https://www.ebay.com/itm/Silicone-Hot-Handle-Holder-Potholder-Cast-Iron-Skillets-Sleeve-Grip-Cover-Red/263314910027,It slippes around on pan handle,Pan holder,natashac1180,45.16024,-93.08883,"('Greenpoint', 'US', 'America/New_York')",70305
AmazonBasics 15.6-Inch Laptop and Tablet Bag,B00DUGZFWY,"Bags, Cases & Sleeves,Computers & Accessories,See more AmazonBasics 15.6 Inch Laptop And Tablet Bag -...,Electronics,Tablet Accessories,Accessories,Computers/Tablets & Networking,Messenger Bags,Bags,Laptop & Desktop Accessories,Laptop Cases & Bags,Laptop Accessories,Cases,computers,Backpacks",Electronics,https://m.media-amazon.com/images/I/91Q4MPJX2iL._AC_SL1500_.jpg,AmazonBasics,2017-10-19T00:00:00.000Z,Unavailable,Unavailable,5,https://www.ebay.com/urw/product-reviews/1542880841%25253F_itm%25253D252317004839,Very well constructed and reasonably priced.,laptop computer bag,docarte-38,40.94065,-73.99681,"('Greenpoint', 'US', 'America/New_York')",92929
Fire TV Stick Streaming Media Player Pair Kit,B00ZV9RDKK,"Electronics,TVs Entertainment,Featured Brands,Other TV, Video & Audio Accs,College Tvs & Home Theater,Streaming Media Players,Fire TV,TVs Entertainment xbqxrzdteyyb,Ways To Shop,Amazon SMP,Electronics Features,TVs & Home Theater,TV, Video & Home Audio,On To College,Media Streamers,TV & Home Theater,TV, Video & Audio Accessories,Digital Device 4,All Streaming Media Players,College Electronics,Video Devices & TV Tuners,Consumer Electronics,TV & Video,Streaming Devices,Back To College,Amazon Devices,Amazon,Holiday Shop",Electronics,https://m.media-amazon.com/images/I/51P6jWMGzYL._AC_SL1000_.jpg,Amazon,2018-07-10T00:00:00.000Z,Unavailable,1,5,"https://www.newegg.com/Product/Product.aspx?Item=9SIA9586MT5898,https://www.newegg.com/Product/Product.aspx?Item=9SIAGHS8KE3513,https://www.newegg.com/Product/Product.aspx?Item=9SIA6V66MV2282","Pros: I'm a subscriber to DirectTV Now! So i pay a yearly discount and get over 450+ channels streamed to my TV for 59 a month, I pay for Prime/Netflix. combined, My cable bill was 172.00 I get more choices options, and I got the components to run it off ethernet, so no lag.I have un-metered fiber optic, so I can stream a lot, given how my family is good at leaving it running. Cons: TV's in which HDMI ports don't extend out make this difficult to install, My 4K TV has side ports took me like 4 minutes. Wireless is pointless and get the ethernet addon","Should have gone with Chromecast, But this works too.",Anonymous,43.1009,-75.23266,"('Greenpoint', 'US', 'America/New_York')",79393
AmazonBasics 15.6-Inch Laptop and Tablet Bag,B00DUGZFWY,"Bags, Cases & Sleeves,Computers & Accessories,See more AmazonBasics 15.6 Inch Laptop And Tablet Bag -...,Electronics,Tablet Accessories,Accessories,Computers/Tablets & Networking,Messenger Bags,Bags,Laptop & Desktop Accessories,Laptop Cases & Bags,Laptop Accessories,Cases,computers,Backpacks",Electronics,https://m.media-amazon.com/images/I/91Q4MPJX2iL._AC_SL1500_.jpg,AmazonBasics,2017-12-12T00:00:00.000Z,Unavailable,Unavailable,5,https://www.ebay.com/urw/product-reviews/1542880841%25253F_itm%25253D252317004839,buy it not bad for the price at worth it !!,NICE good deal,cab121461,36.91023,-121.75689,"('Greenpoint', 'US', 'America/New_York')",19763
AmazonBasics AAA Performance Alkaline Batteries (36 Count),"B00QWO9P0O,B00LH3DMUO","AA,AAA,Health,Electronics,Health & Household,Camcorder Batteries,Camera & Photo,Batteries,Household Batteries,Robot Check,Accessories,Camera Batteries,Health and Beauty,Household Supplies,Batteries & Chargers,Health, Household & Baby Care,Health Personal Care",Health & Beauty,https://m.media-amazon.com/images/I/71nDX36Y9UL._AC_SL1026_.jpg,AmazonBasics,2016-06-18T00:00:00.000Z,Unavailable,Unavailable,4,https://www.amazon.com/product-reviews/B00QWO9P0O/,They don't last as long as the brand name but are good enough considering they are much cheaper.,... last as long as the brand name but are good enough considering they are much cheaper,ByAdam,43.1566,-77.6088,"('Greenpoint', 'US', 'America/New_York')",14623
AmazonBasics External Hard Drive Case,"B00F5CKWBA,B00KPQCWAU","Electronics Features,Drives, Storage & Blank Media,Hard Drive Pouches,Computers & Accessories,Computer Accessories & Peripherals,Hard Drive Accessories,Electronics,Computers Features,Personal Computer,Accessories,Hard Drive Bags Cases,Computers/Tablets & Networking,Drive Enclosures & Docks,Laptop & Desktop Accessories,Hard Drive Bags & Cases,Carrying Case Or Bag",Electronics,https://m.media-amazon.com/images/I/81kRZpUPL-S._AC_SL1500_.jpg,AmazonBasics,2016-02-04T00:00:00.000Z,Unavailable,Unavailable,3,"https://www.ebay.com/itm/AmazonBasics-External-Hard-Drive-Case/173739298641?hash=item2873ab4f51:g:1VYAAOSw~xtcO6H5,https://www.ebay.com/itm/AmazonBasics-External-Hard-Drive-Case/264061001165",Isn't the same as the picture.,Not the same,levi569,41.48199,-81.79819,"('Greenpoint', 'US', 'America/New_York')",13446
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black","B018SZT3BK,B01AHB9CN2","Fire Tablets,Computers/Tablets & Networking,Electronics Features,Tablets,All Tablets,Amazon Tablets,Computers & Tablets,Electronics,iPad & Tablets,Tablets & eBook Readers",Electronics,https://m.media-amazon.com/images/I/71GletxnoxS._AC_SL1500_.jpg,Amazon,2016-12-24T00:00:00.000Z,TRUE,0,5,"http://reviews.bestbuy.com/3545/5538501/reviews.htm?format=embedded&page=239,http://reviews.bestbuy.com/3545/5538501/reviews.htm?format=embedded&page=275","This Fire HD 8 is my first such device. I find it to be easy to operate and very responsive.The touch screen control takes getting used to as I often click on the wrong close part of the screen and have to go back. The Alexa voice assistant surprised me when she announcedherself over the speaker. (I shut her off since I'm not a fan of conversing with computers).My main complaint is that comes with nothing but a charger and cable. The wordless, pictorialstart up instructions were primitive and vague. There are no instructions on how to use thisdevice; no sample book to test and get familiar with. There is a help function thatfills in some basics of functionality but not thorough enough. The WiFi connectivity is great, using the latest protocol and encryption. It has a simple web browser but web time also seems to be the greatest drain on the battery. The cable can be used toattach to a Windows PC and transfer files (books, music, pictures etc). I would also recommend buying a protective case for if its ever accidently dropped.",A good buy!,jaxson,45.49428,-122.86705,"('Greenpoint', 'US', 'America/New_York')",96161
AmazonBasics Backpack for Laptops up to 17-inches,"B00EEBS9O0,B01CHQHIJK","Portable Computer Accessories,Bags, Cases & Sleeves,Accessories,Computers & Accessories,Laptop Accessories,Electronics,Backpacks",Electronics,https://m.media-amazon.com/images/I/81vfzNUAXEL._AC_SL1500_.jpg,AmazonBasics,2014-08-06T05:00:00Z,Unavailable,Unavailable,5,http://www.amazon.com/product-reviews/B00EEBS9O0/,many department for my idems and is perfectly design fitted for my needs.,many department for my idems and is perfectly design fitted ...,Roger rojaman woodson,41.55838,-81.56929,"('Greenpoint', 'US', 'America/New_York')",10166
"All-New Kindle Oasis E-reader - 7 High-Resolution Display (300 ppi), Waterproof, Built-In Audible, 8 GB, Wi-Fi - Includes Special Offers",B06XD5YCKX,"EBook Readers,Tablets,Electronics,Amazon Ereaders,Kindle E-readers,E-Readers,Featured Brands,E-Readers & Accessories,Amazon Book Reader,Computers & Tablets,Amazon Devices,Amazon,Tablets & E-Readers","Electronics,Media",https://m.media-amazon.com/images/I/61PxOMO+9aL._AC_SL1000_.jpg,Amazon,2018-05-04T00:00:00.000Z,TRUE,0,5,https://reviews.bestbuy.com/3545/5999007/reviews.htm%252525253Fformat%252525253Dembedded,Great oven with a nice even heat with the convection part,Good looking oven,Nancy,41.80753,-87.65644,"('Greenpoint', 'US', 'America/New_York')",90152
AmazonBasics AAA Performance Alkaline Batteries (36 Count),"B00QWO9P0O,B00LH3DMUO","AA,AAA,Health,Electronics,Health & Household,Camcorder Batteries,Camera & Photo,Batteries,Household Batteries,Robot Check,Accessories,Camera Batteries,Health and Beauty,Household Supplies,Batteries & Chargers,Health, Household & Baby Care,Health Personal Care",Health & Beauty,https://m.media-amazon.com/images/I/71nDX36Y9UL._AC_SL1026_.jpg,AmazonBasics,2016-12-06T00:00:00.000Z,Unavailable,Unavailable,5,https://www.amazon.com/product-reviews/B00QWO9P0O/,Well they are not Duracell but for the price i am happy.,... are not Duracell but for the price i am happy.,BySharon Lambert,43.1566,-77.6088,"('Greenpoint', 'US', 'America/New_York')",14623
